函数名称 说明
ActiveKeyboardLayout 激活一个不同的键盘布局，该布局必须先由
LoadKeyBoardLayout函数装载
AdjustWindowRect 根据希望的用户矩形大小来计算所需矩形窗口的大小，然后将该窗口矩形给
CreateWindow函数，以创建所需的窗口
AdjustWindowRectEx 根据希望的客户矩形大小来计算具有扩展式样的窗口所需的矩形窗口大小，然后将该窗口矩形传给CreateWindow函数，以创建所需的窗口
AnyPopup 确定屏幕上是否存在未被拥有的、可见的、顶层弹出式或重叠式窗口
AppendMenu 在给定菜单的尾不增加新项
ArrangeIconicWindows 在给定父窗口中安排最小化的子窗口
AttachThreadInput 将只线程的输入状态附加到其它线程上
BeginDeferWindowPos 创建多窗口位置的数据结构，并为该结构返回一个句柄
BeginPaint 为绘图准备一个窗口
BringWindowToTop 将给定窗口放到屏幕Z序顶部
BroadcastSystemMessage 发送一条消息给指定的接受器，这个接受器可被用于可安装驱动器、基于WINDOWS的网络驱动器、系统级设备驱动器或任何这些部件的组合
CallMsgFilter 将指定的消息和钩子代码传送给应用程序定义的回调函数，以便应用程序能够在对话框、消息框、菜单和滚动条进行内部处理或按ALT+TAB键激活另一窗口时，检查和控制消息流
CallNextHookEx 将给定的钩子信息传递给当前钩子链的下一个钩子过程
CallWindowProc 将给定的消息传递给指定的窗口过程
CascadeWindows 级联指定父窗口的指定窗口或子窗口
ChangeClipBoardChain 从剪贴板查看程序链中去掉一个窗口
ChangeDisplaySettings 改变指定图形模式的显示环境
CharLower 将一个字符或字符串转换成小写
CharLowerBuff 将字符串缓冲区内指定数目的字符转换成小写
CharNext 返回指向字符串中某字符的下一个字符的指针
CharNextExA 检取字符串中下个字符的指针
CharPrev 返回字符串中某个字符的前一个字符的指针
CharPrevExA 检取字符串中某个字符的前一个字符的指针
CharToOem 将指定字符串转换到OEM定义的字符集中
CharToOemBuff 将字符串缓冲区中指定数目的字符转换成OEM定义的字符集中
CharUpper 将一个字符后字符串转换成大写
CharUpperBuff 将字符缓冲区中指定数目的字符转换成大写
CheckDlgButton 通过对话框按扭改变一个选择标记
CheckMenuItem 通过菜单项改变一个选择标记
CheckMenuRadioItem 核对指定菜单项并作标记，同时去掉该组中其它菜单项的标记
CheckRadioButton 向组中给定圆按扭增加一个选择标志，并去掉该组中其它圆按扭的选择标志
ChildWindowFromPoint 确定包含给定点的子窗口
ChildWindowFromPointEx 确定包含给定点的子窗口
ClintToScreen 将给定的用户坐标转换成屏幕坐标
ClipCursor 将光标限定在屏幕上给定的矩形区域内
CloseClipBoard 关闭剪贴板，以允许其它窗口访问该剪贴板
CloseDesktop 关闭指定桌面对象的句柄
CloseWindow 最小化指定的窗口
CloseWindowStation 关闭一个打开的窗口站句柄
CopyAcceleratorTable 拷贝指定的加速键表
CopyIcon 拷贝一个图标
CopyImage 建立一个图象并拷贝指定图象的属性给它
CopyRect 拷贝一个矩形坐标
CountClipboardFormats 返回剪贴板当前不同数据格式的数目
CreateAcceleratorTable 创建一个加速键表
CreateCart 为系统插入符创建一个新形状，并且为给定窗口分配这个插入符的所有权
CreateCursor 用指定大小、位模式、热点创建一个光标
CreateDesktop 在和调用过程相关的窗口站上创建一个新桌面
CreateDialogIndirectParam 从内存对话框模板中创建一个无模式对话框
CreateDialotParam 从对话框模板资源中创建一个无模式对话框
CreateIcon 用指定大小、颜色和位模式创建一个图标
CreateIconFromResource 从描述图标的资源位中创建一个图标或光标
CreateIconFromResourceEx 从描述图标的资源位中创建一个图标或光标
CreateIconIndirect 根据ICONINFO数据结构创建一个图标或光标
CreateMDIWindow 创建一个多文档界面窗口
CreateMenu 创建一个菜单，然后用AppendMenu函数填充菜单项
CreatePopupMenu 创建一个弹出式窗口，然后用AppendMenu函数填充菜单项
CreateWindowEx 用指定方式创建一个窗口
CreateWindowstation 创建一个窗口站对象。一个窗口站是包含全局原子、剪贴板和桌面对象集的安全对象
DdeAbandonTransaction 放弃指定的异步事务处理，并释放与该事务处理相关的所有资源
DdeAccessData 提供对DDE对象中的数据的访问，当应用程序完成访问时，必须调用DdeUnaccessData函数
DdeAddData 把数据增加到给定的DDE对象中
DdeClientTransaction 在客户和服务器应用程序之间开始一个DDE数据处理
DdeCmpStringHandles 比较两个DDE字符串句柄的值，不区分大小写
DdeConnect 建立与支持所指定服务器应用程序服务名和主题名之间的会话，若服务器有多个，只选其一
DdeConnectList 建立与支持所指定的服务名和主题名相对应的所有服务器应用程序之间的会话
DdeCreateDataHandle 建立一个DDE对象，并用指定的数据填充对象
DdeCreateStringHandle 建立一个DDE字符串句柄DDE客户或服务器应用程序可把此句柄传递给其它DDE管理库函数
DdeDisconnect 结束一个DDE会话
DdeDisconnectList 撤消一个DDE会话列表并终止与该表有关的所有会话
DdeEnableCallback 允许或禁止指定的DDE会话
DdeFreeDataHandle 释放一个DDE对象，并删除与该对象有关的数据句柄
DdeFreeStringHandle 释放用DdeCreateStringHandle函数创建的字符串句柄
DdeGetData 从给定的DDE对象中拷贝数据到指定的缓冲区
DdeGetLastError 返回调用DDE管理库函数失败后设置的最新错误值
DdeImpersonateClient 模拟DDE会话中的DDE客户应用程序
DdeInitialize 利用DDE管理库函数注册应用程序
DdeKeepStringHandle 为给定的句柄增加用途数
DdeNameService 注册或去掉服务器所支持的服务者
DdePosAdvise 唤起一个服务以便系统把XTYP_ADVREQ事务处理发送给客户
DdeQueryConvInfo 检取有关DDE事务处理以及发生事务处理的会话的信息
DdeQueryNextServer 获得DDE会话列表中的下一个句柄
DdeQueryString 将与字符串句柄有关的文本拷贝到指定的缓冲区中
DdeReconnect 重建一个DDE会话
DdeSetqualityOfService 指定DDE会话所期望的服务质量
DdeSetUserHandle 把应用程序定义值与会话句柄或事务处理标识符联系起来
DdeUnaccessData 放弃访问一个DDE对象
DdeUninitilize 释放与调用应用程序有关的全部DDE管理库资源
DefDlgPorc 定义会话框类窗口过程的缺省消息处理
DeferwindowPos 修改给定的多窗口位置数据结构并返回修改后的结构句柄
DefFrameProc 定义多文档框架窗口的缺省消息处理
DefMDIChildProc 定义多文档子窗口的缺省消息处理
DefWindowProc 调用缺省的窗口过程对应用程序未处理的任何窗口消息提供缺省处理
DeleteMenu 从菜单中删除一个菜单项
DestroyAcceleratorTable 销毁一个加速键表
DestroyCaret 销毁插入符的当前形状
DestroyCursor 销毁由CreateCursor创建的光标
DestroyIcon 销毁由CreateIcon创建的图标
DestroyMenu 销毁指定的菜单
DestroyWindow 销毁指定的窗口
DialogBoxIndirectParam 从内存对话框模块中创建指定模式的对话框
DialogBoxParam 从对话框模板资源中创建一个模式对话框
DispatchMessage 传送一个消息给指定的窗口过程
DlgDirList 用匹配的路径或文件名填充指定的列表框
DlgDirListComboBox 用目录列表填充指定的组合框
DlgDirSelectComboBoxEx 用选择的列表填充指定的组合框
DlgDirSelectEx 从目录列表获取当前的选择
DragDetect 捕获鼠标并追踪它的移动，直到释放鼠标左键
DrawAnimatedRects 画一线框并激活它，以表明图标或最小/最大化窗口的打开
DrawCaption 画出给定窗口的标题
DrawEdge 画一个或多个矩形边界
